"v1" "v2" "s1" "s2" "c1" "c2"
2.97 0.39 1.52 1.02 1.55 -0.36
2.17 2.32 -2.37 -0.98 -1.63 -0.33
-0.67 -1.43 0.35 -1.25 3.48 2.04
-0.42 1.4 0.3 0.86 0.77 0.76
1.7 1.02 0.17 1.87 -0.41 1.36
0.61 1.08 -1.53 -0.14 0.07 0.15
-1.55 0.36 1.91 0.06 -1.01 -0.52
-1.31 -0.56 0.8 1.28 -0.03 -1.52
-1.35 -0.8 -1.02 -0.78 -1.14 0.25
1.97 2.32 0 1.96 0.34 2.3
1.27 0.73 2.08 1.93 1.02 -0.48
1.3 -0.57 -0.36 -1.39 0 0.84
-0.41 -0.54 -2.04 -1.05 0.6 0.55
1.31 1.79 1.56 2.15 -0.47 0.85
-1.62 -1.76 -1.17 -1.43 -0.58 -1.29
-0.56 -0.26 -1.43 0.8 -0.91 -0.97
-0.51 -1.93 1.06 -0.02 -0.04 -0.09
1.08 -0.79 3.08 1.23 0.7 0.91
2.77 -1.59 -0.86 0.04 -1.66 -1.28
-0.58 0.07 -1.94 1.38 0.22 -1.44
-2.18 -1.9 -0.56 0.31 0.65 0.78
-1.53 -1.36 -1.79 -1.15 -1.71 1.01
-0.31 -0.86 -0.86 -1.26 -0.12 0.16
-0.52 -0.15 -0.18 1.51 -0.99 0.27
-2.51 -0.09 -2.14 -0.68 0.08 0.08
2.56 2.03 1.34 1.08 -0.06 -0.65
0.31 -0.82 -0.78 -1.65 0.36 -0.21
0.69 -0.39 -0.05 -0.01 0.44 0.98
-1.37 -1.55 -0.29 -1.56 1.55 0.5
-2.38 -1.24 -1.36 -1.18 0.43 -0.18
1.38 1.43 0.12 0.62 -0.1 -0.48
-0.12 -2.13 -0.83 0.22 2.17 0.18
0.91 -0.9 0.73 -2.91 1.1 -1.68
-0.25 -2.02 -0.41 -0.11 0.26 -0.82
1.75 -0.04 0 2.05 -0.35 0.26
1.58 0.56 0.16 0.39 0.6 -0.25
0.63 -1 0.05 0.77 1.37 1.61
2.74 0.85 2.53 2.16 2.48 2.57
2.89 1.62 0.27 2.07 0.89 -0.01
-1.85 -1.96 -2.05 0.17 1.2 -0.34
1.13 -0.92 1.03 0.98 0.75 -0.9
-1.56 0.06 0.29 -1.32 -0.63 0.89
-1.67 -0.77 0.66 -2.01 -1.48 -2.01
1.24 0.48 0.65 -0.12 1.62 1.79
-0.28 -1.26 1.82 -0.22 -1.58 0.15
-0.07 -2.61 0.49 -0.54 -3.27 -0.49
-0.43 -0.38 -2.98 -1.9 0.96 -0.97
-0.46 -0.1 1.63 0.05 0.82 -0.19
0.76 -1.11 -0.58 -0.79 0.35 0.58
-0.39 0.71 -0.75 -0.46 -2.16 -0.25
-0.76 1.9 1.83 -0.21 -0.16 0.83
1.81 0.93 -1.14 0.67 -0.75 -1.95
0.68 -0.95 0.8 0.62 -1.71 0.63
3.16 2.47 2.97 0.8 1.29 0.43
0.96 1.16 1.11 0.54 0.44 -1.83
0.87 2.47 3.37 1.71 -1.13 0.19
-2.3 -1.64 -0.63 -2.96 -0.91 0.78
-2.84 -1.43 -1.22 -0.47 0.62 0.09
-1.48 1.54 -1.02 -0.2 -1.48 -2.43
-0.75 -1.65 -0.13 -1.52 0.53 -0.27
-2.06 -3.16 -1.51 0.97 1.03 1.71
0.75 1.79 1.51 2.13 1.22 1.78
0.09 -0.61 -1.31 -1.84 0.55 -2.37
-1.87 1.9 0.92 1.17 -0.24 -1.34
0 0.35 -1.27 2.02 -0.7 0.28
-0.86 -1.08 -1.01 -2.76 0.06 -1.33
-0.57 1.44 -0.88 1.22 -1.3 1.08
-0.65 -0.3 -0.38 -0.95 2.5 -1.14
0.15 0.08 3.02 2.03 1.83 0.44
1.12 -0.85 2.52 3.39 -0.47 0.17
1.39 0.23 -1.77 -0.46 -0.48 0.21
0.41 0.26 0.22 0.04 -0.14 0.4
0.58 -0.04 -0.19 -1.29 -1.1 -0.19
-2.31 -2.94 -1.21 -2.15 2.12 -1.38
1.83 3.28 1.05 -0.56 -1.11 -1.22
0.17 0.85 -1.28 -0.63 -0.07 0.34
1 1.16 0.28 3 -0.31 1.05
-1.57 0.9 1.24 0.5 -0.03 -0.45
0.33 0.96 0.94 0.73 1.61 1.45
0.85 1.05 0.6 1.37 1.16 1.09
1.2 1.98 -1.19 0.52 -1.13 -0.42
0.25 -0.57 1.96 1.67 -0.03 -2.63
-1.07 0.29 2.04 -0.83 0.07 0.82
-1.03 -0.64 0.08 0.48 -2.64 -0.76
4.06 1.35 1.47 0.64 1.19 -0.26
-1.54 -0.38 -0.91 -0.74 0.78 1.03
-0.66 -1.14 -1.28 -0.52 0.02 -0.7
2.36 1.29 2.17 3.56 1.47 1.31
0.69 0.43 -0.85 -0.41 -0.09 0.1
0.49 0.78 1.64 0.87 -1.03 -0.72
-3.7 -1.22 -0.39 -2.24 2.53 -0.33
1.64 0.77 0 1.55 0.28 -0.2
1.11 -0.53 2.22 2.16 -0.13 -0.6
0.49 -2.25 -2.25 -0.68 -0.74 -0.95
1.19 0.59 -0.91 -1.6 -0.21 0.29
1.64 -0.82 -2.04 1.95 1.64 0.69
-0.63 -0.39 0.97 0.6 -1.53 -2.64
1.19 -0.89 -1.12 0.84 1.11 -0.66
-0.81 0.18 0.78 1.37 -0.56 0.8
-0.52 0.54 0.39 0.22 0.42 1.41
1.06 1.9 0.55 -1.73 0.52 1.16
-3.35 -1.62 -1.91 -1.26 1.64 1.64
2.41 0.64 1.36 1.29 -1.57 -0.74
1.14 0.19 0.38 0.12 -0.64 -1.54
-1.09 1.16 -0.07 0.11 1.14 0.78
0.22 0.69 -0.04 0.77 -0.7 -0.24
0.6 -0.16 0.21 -0.61 0.27 0.32
0.67 0.87 -1.2 -1.69 -0.18 -2.2
2.24 0.85 0.68 0.53 -0.78 -0.11
0.22 0.42 -1.32 -0.19 0.91 -1.92
-0.17 0.03 0.33 2.69 0.99 0.36
0.37 0.81 -1.93 -1.27 0.56 0.06
0.48 1.4 0.06 0.97 1.15 0.7
-0.47 1.36 0.05 1.71 -0.62 -2.27
0.84 -0.15 -0.02 1.06 -0.8 0.53
-1.6 1.45 1.27 1.71 -0.22 -2.03
3.69 2.61 0.61 2.01 -1.23 -0.2
-0.37 0.5 2.19 2.46 0.58 0.22
-1.54 -0.07 0.07 -1.33 1.39 0.52
-3.11 -1.48 -1.02 0.78 -0.17 -1.1
0.29 -0.57 1.68 1.08 0.3 -1.03
1.72 -0.04 -0.12 1.15 -1.57 0.17
-0.09 0.38 0.43 -1.19 0.34 0.06
-1.32 2.47 -0.08 -0.59 0.35 1.09
1.26 -0.2 2.21 2.44 -0.35 -0.28
-0.85 -0.48 -0.96 -1.05 1.52 -0.33
0 -1.01 1.77 0.63 1.38 2.56
-0.5 0.02 -0.34 1.46 -0.06 0.29
0.03 0.05 2.71 1.06 0.57 -0.98
-1.64 -0.02 2.47 -0.05 -0.55 1.19
1.62 1.36 2.55 1.24 0.12 1.04
1.05 -0.13 1.95 0.47 -0.36 2.04
-0.49 -0.06 0.24 0.38 2.26 0.13
-1.12 1.32 -2.67 -0.28 1.45 -2.54
1.17 -0.95 1.74 -1.09 0.62 -0.61
-1.79 0.55 -2.94 -1.29 0.96 0.85
-0.16 0.56 -2.02 -0.81 -1 1.64
-1.68 -2.03 -2.63 1 -0.33 0.2
0.4 -0.79 -0.12 0.18 1.42 1.48
1.78 0.02 1.84 0.39 -2.49 0.72
1.29 0.21 3.77 1.36 -0.81 0.32
-0.02 2.53 -1.02 -0.24 -1.42 0.01
-0.4 -0.28 -1.39 -1.19 0.48 0.69
-2.42 -2.77 -1.3 -1.9 -0.97 -1.19
0.88 0.86 -1.88 1.09 0.26 -0.32
2.74 1.08 1.68 0.4 -0.17 -0.11
0.48 0.7 -0.31 0.86 0.82 1.33
2.29 1.48 0.4 0.11 -0.77 1.21
0.82 2.01 1.39 0.69 -1.29 -0.34
-1.47 -1.37 1.42 -1.86 0.51 0.9
-0.53 -1.52 -2.53 -1.71 -0.03 -1.12
-0.03 -0.18 1.17 2.37 -0.81 1.8
-0.35 -0.1 -1.09 -0.68 0.1 2.35
0.39 0.04 1.8 0.13 1.17 -0.16
-0.76 -2.88 -1.53 0.55 0.79 0.84
0.72 0.62 1.67 0.74 -0.05 -1.45
-1.23 1.23 -0.64 -0.21 -0.79 -0.38
0 0.83 -0.01 1.72 -0.76 -0.08
-1.17 -1.43 0.01 -0.54 -1.86 -0.9
1.02 -0.73 -0.49 0.14 1.13 1
-2.42 -2 -1.71 -2.34 0.83 0.26
-1.11 0.08 -0.13 1.53 1.37 -0.83
-1.84 0.61 -0.55 -0.71 -0.3 0.27
1.17 1.98 1.16 -0.03 1.72 1.29
-1.27 -0.07 -1.6 -1.78 -2.17 -0.12
-0.3 -0.79 -1.2 2.5 -0.38 0.3
1.3 0.74 -0.37 0.17 0.78 -0.61
0.66 -0.5 -0.5 -0.42 2.15 -1.59
-1.08 0.16 -1.73 -1.58 2.54 2.58
-3.66 -1.2 1.02 0.23 -0.92 0.48
1.91 1.56 0.65 0.55 1.51 -0.45
0.29 0.55 -0.55 -1.46 1.92 -0.28
0.29 -0.54 -1.21 0.17 1.7 -0.06
1.02 0.92 -1.34 0.23 1.66 -0.09
0.6 0.88 4.01 4.07 -0.68 0.25
1.55 -1.6 -0.23 1.31 -1.1 -1.79
2.27 1.89 2.47 1.01 -0.5 -0.46
0.44 2.01 1.16 0.33 0.22 -1.79
-0.18 -1.66 -2.24 -2.92 1.77 1.41
2.01 -1.21 1.48 1.3 0.7 -1.51
-1.5 -2.72 -0.52 -1.28 -0.76 0.08
0.6 0.34 0.27 1.22 -0.45 0.35
3.7 1.27 -0.24 -2.13 0.62 -0.06
2.42 0.77 -0.4 -0.69 -1.44 -1.1
-0.39 -1.23 1.44 2.81 -2.12 -0.64
0.07 -2.19 -2.85 -0.3 0.39 0.87
2.97 -0.72 -0.07 -1.27 1.53 2.26
1.24 1.33 0.74 0.57 1.02 0.94
1.62 2.53 -0.13 2.9 1.68 0.93
-0.03 0.55 1.98 -1.42 -1.24 -3.67
-1.54 -1.73 -1.33 -0.71 2.1 -0.79
-1.16 0.66 -1.06 0.23 1.09 1.53
0.4 0.31 -1.51 0.78 0.01 0.02
-0.82 1.17 -1.23 0.14 0.46 -0.64
2.47 2.42 0.37 0.63 -0.15 -0.81
-1.63 -1.65 0.31 -0.22 -1.07 0.81
-0.21 -2.91 -1.98 -3.53 0.52 -1.1
-0.44 -0.32 1 -2.2 -1.4 -0.19
-2.18 0.57 0.86 -0.25 2.49 -1.82
-0.27 1.13 -0.34 0.44 0.66 -1.51
-2.43 -1.89 -2.23 -1.51 0.14 0.52
-0.13 -1.37 -0.14 0.06 -1.16 0.89
0.71 0.07 0.58 0.71 -1.32 0.38
-1.04 -0.61 0.82 -0.67 0.78 3.19
0.12 1.16 0.09 -0.26 -0.62 1.55
1.07 0.82 -0.6 1.03 -0.66 -0.6
-0.69 1 -1.71 1.18 -1.83 1.52
-0.1 -0.11 1.41 -0.43 -0.13 1.02
0.25 0.86 -1.48 -0.59 1.06 -0.49
-2.02 -0.86 1.41 -0.35 1.19 1.22
2.63 -0.46 0.9 0.72 1.6 1.96
-2.22 -1.9 -2.41 -0.57 1.88 1.99
2.3 0.26 -0.15 0.17 1.46 0.45
3.71 2.83 1.67 1.75 1.51 0.77
-1.34 -1.88 -1.3 -2.45 -0.19 1.98
-3.51 1.03 -2.41 -4.03 1.42 1.56
-0.62 0.99 -3.35 -1.99 1.31 0.76
1.29 1.05 2.89 3.02 -0.45 -0.58
0.52 1.19 2.57 2.11 1.66 0.93
-0.42 1.21 0.36 1.04 2.22 -0.36
-1.57 -0.76 0.23 1.03 0.43 -0.01
0.92 -0.21 0.4 1.47 0.79 -1.1
0.24 0.68 -0.1 -0.11 1.26 3.44
-1.96 -2.22 1.53 -2.63 0.6 0.07
0.07 1.36 -1.11 -0.19 0.08 -0.69
1.13 2.27 3.19 2.83 0.15 -1.14
-0.08 0.19 -1.41 -0.47 0.06 -1.38
0.75 0.58 0.41 -0.04 0.19 0.63
-0.09 -0.04 1.09 1.31 0.52 -0.31
-2.67 -1.73 -3.91 -2.54 0.26 -1.4
0.69 1.95 -1.08 1.06 0.65 -1.57
0.21 -1.84 -0.15 -1.05 -0.65 1.24
-1.05 -2.7 -3.45 -1.21 0.91 -1.45
-1.35 -1.19 -2.66 -1.04 0.17 -0.35
-2.32 -4.59 -0.58 -1.73 1.16 1.2
-0.52 0.72 -0.7 -1.47 0.56 0.13
-0.66 -0.17 -3.55 -1.38 1.51 -0.4
-0.82 0.39 -4.14 -1.51 -1.29 -0.58
2.5 2.3 1.42 0.28 2.15 1.82
1.21 0.12 0.57 -0.17 -1.08 -0.46
0.24 0.98 1.27 -0.01 -1.32 0.88
-0.17 -1.66 -0.48 0.72 1.49 0.94
-1.48 -0.3 -0.34 0.12 -0.06 -1.9
0.18 1.64 0.56 -1.65 0.23 1.46
-2.84 -2.18 1.72 0.96 0.6 -0.1
-2.51 -0.29 -1.82 -2.17 2.13 1.24
-0.63 -2.49 -3.26 -2.32 0.42 -0.23
-1.49 0.12 0.19 -0.55 0.61 2.19
1.53 2.53 0.2 -0.69 0.41 0.28
0.41 1.44 0.75 1.26 -1.61 -1.06
2.12 1.19 -1.65 -1.07 -1.49 -0.53
-1.57 -0.67 -1.51 -2.42 -0.54 1.08
0.03 -0.07 1.08 -0.88 -1.06 -0.92
1.17 0.87 0.77 0.78 2.13 1.41
0.77 1.94 2.52 1.9 -0.69 1.51
1.01 1.91 2.64 1.15 -0.02 1.46
1.79 2.13 -0.87 -1.43 -0.37 -1.91
1.6 0.59 -1.35 -1.14 1.27 -1.27
-2.27 -2.96 -0.45 0.12 0.77 -1.88
-0.58 0.22 0.83 -0.12 -0.36 0.32
0.39 -0.27 -2.15 -1.16 1.94 1.69
-2.54 -1.91 -0.88 0.62 0.91 -0.95
1.06 0.45 -1.35 -1.66 -0.63 -1.11
0.3 -0.87 1.67 2.94 -0.96 -3.1
0.58 1.14 1.34 -1.29 0.39 1.75
-1.67 1.46 -1.52 0.13 0.35 1.47
0.97 -1.69 0.58 2.07 0.81 0.43
2.3 -1 0.76 1.06 1.6 1
0.37 -0.84 0.06 -0.72 -1.38 0.43
0.25 0.72 -0.85 -0.33 1.74 0.49
-2.07 -2.07 -1.58 -0.24 1.61 -0.79
-0.22 -1.73 0.29 -1.77 -0.63 -1.47
-2.02 0.55 1.2 0.7 -1.95 -0.66
-0.43 -0.32 -1.22 -1.03 1.18 1.25
-1.61 -1.63 -1.52 -2.24 0.08 -0.08
-0.64 -0.32 0.14 2.28 0.36 0.32
-1.37 -4.11 -0.15 -0.52 -0.3 -1.09
0.41 1.09 1.85 1.27 2.22 2.05
-0.62 -0.8 -0.24 0.68 -0.93 0.75
-1.59 -1.48 -0.05 -0.8 -1.69 1
0.85 0.17 0.19 0.69 1.07 -0.84
1.03 -1.55 -0.68 0.03 1.53 1.86
1.7 1.8 1.52 0.09 0.43 -0.7
-1.33 -0.11 -2.44 -1.19 0.28 -0.15
1.35 2.61 0.76 1.94 -0.49 0.68
-1.98 3.11 2.11 1.49 1.21 0.56
0.47 -0.3 -0.24 0.5 2.58 2.11
-0.4 0.88 -0.21 1.17 -0.26 0.91
0.69 0.41 -1.21 -0.65 -2.48 0.58
-0.6 -1.9 -1.29 -0.22 0.21 -0.22
-0.62 1.24 -0.87 -0.48 -0.87 -2.24
-0.09 2.28 -0.17 -1.16 2.05 1.39
-0.21 1.54 -1.43 -0.95 -0.42 0.48
-1.64 -1.09 1.43 -0.47 -1.66 -1.36
2.61 2.41 -3.19 0.36 2.38 -0.87
-0.41 0.45 -1.41 -0.05 0.2 -0.06
0.79 -0.11 -0.4 0.72 -0.4 -0.28
-0.29 1.22 -2.37 -1.92 0.74 1
-2.48 -3.2 1.2 1.17 0.08 0.75
2.75 1.15 1.93 -0.02 1.13 0.5
1.29 0.38 -1.3 1.37 1 1.08
-0.2 0.95 -0.52 3.58 -1.82 0.15
1.79 2.38 0.18 -0.39 0.26 -1.73
-1.87 -3.25 -2.48 -1.06 0.15 2.86
-0.94 -0.35 -0.74 -0.21 1.01 1.24
2.4 -0.18 -1.57 1.58 0.87 2.08
1.62 0.48 0.29 -0.26 -0.09 -1.43
-1.85 0.13 -0.15 -0.98 0.26 -0.08
0.84 0.96 0.03 0.5 1.17 -0.52
1.22 0.69 2.96 1.74 0.67 1.72
0.13 -0.1 -1.23 -2.39 0.53 1.35
-0.19 1.53 1.54 3.47 -0.65 -1.15
1.7 1.55 -0.17 -0.88 -0.1 0.01
0.71 0.75 -0.78 -0.49 -1.69 1.66
1.4 0.75 2.33 0.16 0.53 -0.79
1.1 1.95 -1.36 0.51 -0.13 1.37
-0.42 -0.78 -0.43 0.29 -0.52 -2.2
-1 0.16 -1.57 -2.68 0.64 1.16
0.5 1 0.5 -0.53 -1.52 -0.47
1.26 -0.29 2.15 1.33 -0.88 -0.01
-1.24 -0.11 -0.46 1.94 -1.24 0.58
-0.99 1.21 -1.03 1.22 -0.29 -2.29
1.06 0.84 3.78 3.95 -0.67 1.5
2.19 2.11 0.75 0.92 1.38 0.8
-0.85 -0.77 -1.56 -0.01 0.02 -1.01
-0.88 0.42 -1.84 -0.88 0.49 -0.55
-1.24 -0.22 -1.71 -0.01 2.89 -0.57
0.2 -0.68 -0.96 -0.23 1.03 -0.41
0.81 0.26 -1.89 -1.02 2.21 -0.13
0.98 1.83 1.61 -0.02 2.44 2.2
0.06 1.4 1.27 1.27 0.96 0.34
0.62 -0.18 -1.01 -1.29 -0.91 -1.11
0.35 0.3 0.32 2.41 -0.47 -0.66
-0.36 1.5 -0.68 0.3 -1.94 -2.87
-1.76 1.1 0.11 -0.1 0.58 0.28
-2.8 -2.14 1.07 0.93 -0.6 -1.66
-0.13 -0.87 1 -0.84 0.43 0.11
1.31 -1.05 1.42 1.17 -0.33 -0.04
1.8 0.71 0.12 -1.94 -0.98 -0.9
1.42 -0.22 0.65 2.69 -1.16 -0.48
1.02 -0.92 2.68 0.55 -2.42 -2.09
2.38 2.14 -0.5 2.16 0.45 1.43
0.94 0.2 -0.2 0.06 2.71 -1.03
-0.53 -0.11 -0.38 0.46 1.31 -0.29
-0.78 -0.93 -0.3 -1.21 0.68 0.25
-2.21 -2.1 -0.54 0.15 -1.09 -0.86
0.06 -0.85 -1.03 -1.67 0.94 0.18
0.8 1.13 1.11 -0.52 -0.03 0.35
1.01 -0.32 0.11 1.3 1.39 0.26
0.49 1.04 0.87 -0.51 0.14 -0.2
-0.63 0.56 -0.39 0.87 -0.98 -0.38
-0.14 -0.32 -0.16 -1.12 0.5 -1.49
1.35 -0.32 1.06 1.19 -1.9 -0.07
-0.21 0.2 0.14 0.53 0.67 -1.87
0 0.66 3.67 1.36 0.48 1.52
0.26 0.74 -0.48 0.93 1.36 -1.06
-3.25 -0.96 -1.78 -2.47 -0.02 1.27
0.3 -1.64 -0.85 0.01 -0.24 -3.06
-0.37 1.04 0.31 0.88 -1.08 -2.17
1.12 -1.64 0.24 -0.54 0.98 -1.82
0.06 0.7 2.1 -0.87 -1.17 0.43
-2.16 -3.43 -1.14 -0.76 0.19 0.25
-1.55 0.9 -0.15 -0.46 1.26 0.58
1.38 2.44 -1.32 1.1 0.22 -1.53
-0.15 0.04 0.5 0.33 -0.69 -1.78
2.03 -1.12 1.91 2.07 -0.51 -0.36
0.49 -1.26 -0.18 0.38 -1.98 0.7
-0.38 -0.76 -2.03 -1.88 1.71 -1.32
-1.14 0.55 1.36 -0.3 -0.1 0.65
-1.47 0.27 1.77 1.23 -0.46 0.52
0.93 -0.93 0.73 -0.85 -0.36 0.47
0.01 0.19 1.19 -1.16 -1.9 -0.7
1.22 -1.23 2.38 1.33 -0.5 -0.09
-0.12 -2.01 -1.09 -1.41 0.54 0.54
1.4 1.86 -1.3 0.79 0.4 -0.82
-0.14 0.5 2.67 1 1.68 1.95
-1.37 -0.22 -2.45 -1.62 0.02 0.21
-0.55 -0.61 1.59 1.29 -0.7 -0.53
0.63 -0.98 -2.16 0.13 -1.44 -0.53
1.67 0.95 0.5 1.5 0.23 -0.65
-0.34 0.39 -0.31 1.42 -1.23 1.1
0.66 1.97 0.82 0.3 0.56 0.14
-1.15 -1.71 -1.38 -0.58 0.33 -1.75
-2.39 -1.57 0.08 -1.01 -0.4 -1.39
0.38 0.49 -0.82 0.3 0.91 -0.13
-0.45 -0.03 -0.2 0.94 0.5 1.92
0.1 0.75 0.42 0.44 0.08 -0.14
-1.66 0.48 -1.07 -1.66 -0.75 -0.63
2.22 -0.69 0.75 1.4 -0.66 1.13
2.02 0.61 1.99 -0.24 1.16 0.36
-0.59 -2.1 -1.35 -0.75 0.62 -0.29
-0.41 -1.02 0.68 -1.07 1.15 0.92
1.94 1.25 2.68 0.16 0.72 2.19
2.49 3.31 0.58 1.37 -0.32 1.06
-0.22 0.27 0.89 0.57 -2.61 -0.15
-0.42 -0.87 1.73 1.07 1.17 0.22
0.97 0.88 0.31 -0.17 0.25 2
-0.27 -1.96 -0.89 0.36 -0.76 -1.98
0.91 1.15 1.36 1.51 0.06 -0.11
-2.57 -2 -0.82 -0.79 -1.72 0.29
0.44 0.37 -1.14 0.16 0.18 0.15
-0.23 0.98 1.18 -0.15 -1.09 0.56
-0.39 -0.27 -0.32 1.03 1.57 -0.95
-1.38 -2.84 -0.67 -0.36 -0.16 2.75
0.69 3.04 0.03 -0.06 1 -1.04
-0.21 -0.13 -0.5 -0.95 0.17 1.03
0.97 1.4 0.38 0.63 -0.67 0.19
2.56 0.76 0.44 -0.19 0.1 2.14
-1.6 -2.55 -0.38 -0.04 -0.87 -0.78
0.41 -0.05 0.66 1.34 -1.37 -1.93
-3.11 -1.13 1.81 0.06 -1.2 0.89
0.39 0.85 -1.22 -1.17 -0.88 -1.2
1.31 0.98 -0.94 0.01 1.58 0.25
-0.12 -1.26 1.24 -1.45 -2.6 -0.18
1.64 2.18 1.2 0.65 1.46 -0.07
1.97 -0.23 -1.58 -0.03 2.18 -0.19
0.62 -1.13 -1.37 1.37 0.73 1.86
1.29 1.58 1.89 0.75 -0.57 -0.63
1.29 0.46 2.55 1.09 -0.81 -0.47
-0.92 0.88 -0.5 -1.75 -0.72 -0.04
0.32 0.29 -0.36 1.78 0.34 -1.42
-0.95 -0.29 -0.43 0.97 0.16 -0.49
0.57 0.35 -0.01 1.35 2.95 2.77
0.87 -0.28 2.29 0.62 -0.96 1.25
-2 -1.27 -1.65 -0.11 -0.69 -1.69
-2.16 -1.55 0.84 -0.4 -0.72 0.57
-0.35 -0.79 -2.69 -0.37 -0.33 0.77
-0.17 0.11 -0.65 0.7 -0.32 -0.14
0.44 -1.43 -2.24 -1.14 1.09 1.82
0.81 1.5 1.31 0.75 -2.82 0.02
-1.85 -1.21 -1.5 0.68 -1.45 -1.66
-1.74 -1.55 0.77 0.88 -0.61 -1.65
-1.69 1.78 -1.13 -0.6 1.88 -0.51
1.46 0.35 -0.4 -3.06 1.1 2.42
0.51 -0.14 -0.45 1.09 0.86 0.07
0.52 0.53 0.07 -0.21 0.56 0.33
2.08 -0.74 1.42 1.2 -1.63 -0.48
2.08 1.7 2.07 0.21 -0.29 -0.03
0.9 0.26 0.15 0.19 1.45 1.81
3.13 -1.38 -1.78 -0.93 -1.49 -0.88
2.92 1.22 -0.94 -1.13 0.55 1.79
-1.73 1.04 1.48 -0.29 -0.28 0.13
-0.39 -0.54 -0.97 -1.28 -1.44 -0.58
-0.18 -1.11 2.39 1.13 0.35 -0.53
-0.44 0.15 1.01 0.6 -0.04 -0.24
0.01 -2.21 -2.88 -0.89 -0.47 4.45
-1.81 -2.49 -0.87 -2.28 0.91 1.6
-0.32 0.18 0.06 -1.41 1.42 0.01
-0.03 2.04 2.15 0.4 -0.52 -0.04
-0.64 -1.1 0.16 1.81 -1.5 -1.86
-2.11 -2.5 -1.51 -1.93 -1.2 0.8
-0.32 -1.05 -2.11 -2.35 -1.87 1.45
0.85 0.95 1.02 0.18 2.18 0.21
-0.03 -0.99 -1.08 -1.38 -0.44 -0.32
-0.94 -0.48 1.01 0.04 -0.35 0.37
-0.89 -0.57 2.02 0.18 -0.73 -0.01
-0.16 1.86 0.93 -0.92 0.2 -1.34
2.63 4.26 1.13 3.14 3.06 3.69
0.73 1.48 0.34 0.11 2.24 -0.83
1.27 1.21 0.4 1.17 -0.42 0.36
-1.66 -0.33 -0.87 1.71 2.46 0.39
-1.72 0.5 -1.21 1.02 1.6 -0.68
0.3 1.19 0.12 1.19 -0.02 -1.24
-1.98 -2.2 0.9 1.46 -0.17 0.97
2.22 1.64 0.25 1.21 1.32 0.35
3.08 0.85 2.55 2.32 2.18 0.68
0.97 1.79 0.69 2.28 0.68 -1.11
2.26 1.37 0.3 0.07 -0.37 -1.1
1.85 2.98 0.16 0.05 -0.13 -1.79
-0.81 0.4 -0.56 -0.19 0.22 1.47
-1.17 -1.12 -0.11 3.27 2.57 1.23
0.13 -0.04 0.87 -0.88 -0.47 2.08
-0.12 -0.06 -0.75 0.24 -0.65 -1.19
-1.06 -0.96 -1.99 -2.32 -0.71 0.62
1.33 -1.73 -1.15 -0.22 0.68 -1.85
-0.15 0.8 0.72 1.91 0.48 1.89
-1.46 -1.06 0.29 -1.26 0.16 -0.9
0.4 -1.3 -1.64 0.72 0.26 -0.83
-2.17 0.35 -1.57 0.87 0.35 -1.3
1.25 3.1 0.19 0.82 0.59 -0.42
2.18 2.82 1.19 -0.62 1.12 1.23
-0.51 1.31 2.41 -1.17 -1.13 0.6
-0.61 -1.17 -1.69 -0.03 -1.56 1.78
-1.15 0.38 0.15 -1.31 -0.21 1.93
-0.39 -0.45 -0.14 -0.11 -1 0.79
0.23 -0.79 0.75 -2.05 -0.81 0.53
1.37 3.16 0.16 -2.3 -0.23 0.71
1.52 -1 -1.17 -1.1 0.17 0.85
-0.07 0.15 1.24 -0.92 2.44 0.12
-0.15 3.64 0.48 0.41 1.16 2.61
0.05 1.03 -0.35 0.31 -0.64 -1.11
-0.82 -1.57 -0.03 0.53 -0.1 0.98
3.08 1.27 3.19 0.76 -0.88 -0.91
1.54 1.09 -2.37 -0.81 1.61 -0.12
1.21 0.18 -0.31 0.95 0.25 0.1
0.36 0.48 1.55 0.85 0.62 0.79
0.73 0.4 1.94 2.74 -1.13 -1.28
-0.08 1.66 2.55 1.68 -1.67 0.61
0.51 -1.59 -1.75 -1.73 3.08 2.08
1.68 0.29 -0.6 -1.04 -0.32 1.46
-0.17 -1.62 -0.04 -1.58 -0.46 1.32
-0.94 0.27 -2.39 -0.94 -0.3 1.04
-1.01 -0.45 -1.22 -1.83 -0.39 0.23
-1.43 -0.73 0.48 1.74 0.42 -1.13
1.82 -0.09 2.13 -0.49 -0.32 0.93
0.42 -0.92 0.17 0.17 0.88 -1.38
-3.33 -0.92 -1.8 0.17 -0.37 -1.94
-1.67 -0.7 -2.46 -1.66 3.07 0.96
-1.45 -3.16 -0.21 -1.51 1.76 -0.67
-0.94 -2.51 -2.03 -2.36 1.33 1.78
1.7 -0.2 -2.4 -1.01 1.38 1.86
-1.16 -1.34 -2.84 -3.84 -0.27 0.34
2.06 1.46 1.88 0.2 1.54 -0.93
-2.71 -1.84 -3.65 -1.28 0.67 -1.21
-0.15 1.03 -2.31 -1.6 0.6 -1.22
0.76 -0.73 0.46 2.02 -0.04 -1.06
0.99 0.61 -0.87 -0.59 -0.97 1.77
0.69 1.74 0.25 0.65 2.27 -0.63
1.74 -0.21 1.15 0.08 1.34 0.1
-1.46 2.12 -1.59 -2.35 -0.1 -0.74
-0.09 0.6 -0.28 -0.81 1.24 -0.07
0.58 -0.83 1.32 -0.01 -1.42 -0.03
